[2024-11-10 17:22:16,167: INFO: main: >>>>>> stage  Prepare base model completed <<<<<<<

x===========x]
[2024-11-10 17:22:16,167: INFO: main: *********************]
[2024-11-10 17:22:16,168: INFO: main: >>>>>> stage  Training started <<<<<<<]
[2024-11-10 17:22:16,168: ERROR: main: name 'ModelTrainingPipeline' is not defined]
Traceback (most recent call last):
  File "main.py", line 37, in <module>
    model_trainer = ModelTrainingPipeline()
NameError: name 'ModelTrainingPipeline' is not defined
[2024-11-10 17:22:51,732: INFO: main: >>>>>> stage  Data Ingestion stage started <<<<<<<]
[2024-11-10 17:22:51,734: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 17:22:51,736: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 17:22:51,737: INFO: common: created directory at: artifacts]
[2024-11-10 17:22:51,737: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-10 17:22:51,737: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1ba-F3UWw6CeFiWdr3rsQ6buCQJ0PGK5a/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-10 17:22:57,970: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1ba-F3UWw6CeFiWdr3rsQ6buCQJ0PGK5a/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-10 17:22:58,171: INFO: main: >>>>>> stage  Data Ingestion stage completed <<<<<<<

x===========x]
[2024-11-10 17:22:58,171: INFO: main: *********************]
[2024-11-10 17:22:58,172: INFO: main: >>>>>> stage  Prepare base model started <<<<<<<]
[2024-11-10 17:22:58,174: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 17:22:58,176: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 17:22:58,176: INFO: common: created directory at: artifacts]
[2024-11-10 17:22:58,177: INFO: common: created directory at: artifacts/prepare_base_model]
